,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
16180,1013663,12/06/2015,2200,Rampart,217,CRIMINAL HOMICIDE,66.0,M,B,SIDEWALK,"(34.0729, -118.2664)",12,6,2015,34.0729,-118.2664,2015-12-06,26.3
16756,1014343,03/24/2015,1220,Southwest,394,ARSON,38.0,F,B,SINGLE FAMILY DWELLING,"(34.0072, -118.3201)",3,24,2015,34.0072,-118.3201,2015-03-24,25.8
16834,1014442,05/19/2015,1635,Southwest,328,THROWING OBJECT AT MOVING VEHICLE,12.0,M,B,STREET,"(34.023, -118.2824)",5,19,2015,34.023,-118.2824,2015-05-19,21.5
16856,1014468,06/05/2015,2350,Southwest,395,THROWING OBJECT AT MOVING VEHICLE,14.0,M,X,STREET,"(34.0109, -118.3089)",6,5,2015,34.0109,-118.3089,2015-06-05,22.5
17281,1014939,01/14/2015,2230,Southwest,374,KIDNAPPING,45.0,F,W,STREET,"(34.0108, -118.3171)",1,14,2015,34.0108,-118.3171,2015-01-14,21.2
17654,1015370,01/29/2015,1210,Southwest,319,KIDNAPPING,21.0,F,H,STREET,"(34.0282, -118.276)",1,29,2015,34.0282,-118.276,2015-01-29,22.2
17797,1015525,02/02/2015,237,Southwest,362,ARSON,23.0,F,H,STREET,"(34.015, -118.348)",2,2,2015,34.015,-118.348,2015-02-02,24.1
17928,1015671,02/09/2015,1824,Southwest,394,ARSON,46.0,M,H,SINGLE FAMILY DWELLING,"(34.0072, -118.3201)",2,9,2015,34.0072,-118.3201,2015-02-09,23.1
18117,1015872,02/16/2015,213,Southwest,313,ARSON,59.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0326, -118.3308)",2,16,2015,34.0326,-118.3308,2015-02-16,22.1
18255,1016027,02/18/2015,1010,Southwest,335,KIDNAPPING,14.0,F,B,STREET,"(34.0276, -118.3248)",2,18,2015,34.0276,-118.3248,2015-02-18,22.5
